date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2017-05-07,Madrid,12,Gamelin,R. Sousa Ferreira,0.0,0.9999826728728191,1,0
2019-10-20,Laon,12,Forcing du Cap,J. Koubiche,0.0,0.9924546769466908,1,0
2016-09-04,Landivisiau,17,Ustou,JP. Thomain,0.0,0.9839736706299262,1,0
2018-09-17,Gavle,10,Kolnes Germa,Mme L. Sundell,0.0,0.999956521335869,1,0
2017-08-16,Emmeloord,9,Hurricane Bb,F. Vdr Blonk,0.0,0.999945155033209,1,0
2020-11-25,Deauville,16,Martine Bow,S. Martino,89.0,0.12392598144105113,0,0
2018-07-13,Charlottenlund,8,Vesuv,M. Appelt Nielsen,0.0,0.9999346471412066,1,0
2016-07-12,Biarritz,13,Bella de Vive,E. Audebert,5.6,0.08650389421514618,0,1
2016-11-05,Doncaster,7,Kimberella,A. Atzeni,0.0,0.9999346125063263,1,1
2019-10-27,Grenade-sur-Garonne,15,Cybèle de Mai,R. Sarda,0.0,0.9821231603524884,1,0
2022-05-07,Hexham,9,Victory Echo,CA. O'Farrell,0.0,0.9999698144192736,1,0
2017-11-19,Amiens,14,Dragster Sarjo,JJ. Lepennetier,10.0,0.08843864769700989,0,0
2017-08-13,Berlin-Hoppegarten,11,Sarisha,M. Cadeddu,0.0,0.9988429385415586,1,0
2020-08-02,Newcastle,9,Gold Ribbon,PJ. Mc Donald,0.0,0.999890702385314,1,0
2019-12-16,Taranto,12,Seven,R. Tamburrano,0.0,0.9999645148201602,1,0
2022-08-07,Sainte-Marie-du-Mont,10,Furious Elde,PY. Gouin,3.3,0.1927741769418953,0,1
2020-11-17,Axevalla,12,Pim Pim Joli,O. Svanberg,0.0,0.9998900197259758,1,0
2021-10-03,Nîmes,6,Mister Bint,A. Beaudoire,0.0,0.9694266961376627,1,1
2021-05-29,Palerme,14,Calamity Jane,A. Di Chiara,0.0,0.9999929954014414,1,0
2023-09-15,Khemisset,13,AYADI,MS. SANAD,0.0,0.9997043874273913,1,1
2018-04-28,Mariehamn,9,Arctic Don,B. Carlsson,0.0,0.9999914896580485,1,1
2022-11-11,Cheltenham,7,Hubrisko,P. Townend,0.0,0.985742671734813,1,0
2020-06-12,Newbury,7,Mr Trick,R. Moore,0.0,0.999900125159973,1,0
2022-01-01,Gelsenkirchen,7,Jesican,Mme M. Mellies,0.0,0.9782172613225834,1,1
2019-02-05,Florence,9,Zimmer Grif,M. Matteini,0.0,0.9999541269500891,1,0
2023-01-17,Clonmel,10,Extreme Cacao,B. Hayes,0.0,0.9999178273764571,1,0
2015-11-29,Kuurne,7,Pompano Mick,A. D'Haese,0.0,0.998662393009948,1,0
2021-05-13,Savigny-sur-Braye,13,Girl Venesi,B. Pecharman,0.0,0.9434094929981325,1,0
2017-11-03,Le Croisé-Laroche,10,Cœur de Loup,P. Daugeard,8.5,0.05901766041427073,0,1
2023-12-03,Khemisset,18,NAMLATE OULGHES,AT. TAFTAFI,0.0,0.9979431224295123,1,0
2022-01-14,Fairview,13,Namaqualand,K. Brewer,10.0,0.1764822750877971,0,0
2017-08-05,Del Mar,7,Terra's Angel,S. Risenhoover,0.0,0.9996333526913358,1,1
2015-03-21,Bendigo,15,Tan Tat Diamond,D. Stackhouse,0.0,0.9921671702185723,1,0
2020-05-19,Romme,15,Hvalstad Gyda,U. Eriksson,0.0,0.9999063994360462,1,1
2017-04-24,Avenches,8,Master of Optimism,Mme S. Casanova,0.0,0.9752386432022956,1,0
2019-04-14,La Roche-sur-Yon,11,Fun du Lemo,M. Delage,7.0,0.2321841057399365,0,1
